,city,lat,lon,score
425,"Norfolk, Virginia",36.8507689,-76.28587259999999,43.07220291787829
426,"Portsmouth, Virginia",36.8354258,-76.2982742,46.7315573369603
427,"Richmond, Virginia",37.5407246,-77.4360481,32.5607990384873
428,"Roanoke, Virginia",37.2709704,-79.9414266,32.5778748933246
429,"Suffolk, Virginia",36.7282054,-76.5835621,54.6187498765422
430,"Virginia Beach, Virginia",,,77.3564204395778
431,"Auburn, Washington",47.30732279999999,-122.2284532,57.0838965326149
432,"Bellevue, Washington",47.6101497,-122.2015159,73.2182606842606
433,"Bellingham, Washington",48.7519112,-122.4786854,47.719853716501596
434,"Everett, Washington",47.9789848,-122.2020794,46.4986944520893
435,"Federal Way, Washington",47.3223221,-122.3126222,64.6931711655145
436,"Kennewick, Washington",46.2112458,-119.1372338,57.9688150557499
437,"Kent, Washington",47.3809335,-122.2348431,50.4513102051075
438,"Renton, Washington",47.48287759999999,-122.2170661,57.2325766728033
439,"Seattle, Washington",47.6062095,-122.3320708,54.324683817742205
440,"Spokane, Washington",47.6587802,-117.4260466,44.8474799377271
441,"Tacoma, Washington",47.2528768,-122.4442906,53.98740919713529
442,"Vancouver, Washington",45.6318397,-122.6716063,54.81547677601829
443,"Yakima, Washington",46.6020711,-120.5058987,38.312596412370794
444,"Green Bay, Wisconsin",44.51915899999999,-88.019826,43.799011275770205
445,"Kenosha, Wisconsin",42.5847425,-87.82118539999999,43.2583364841828
446,"Madison, Wisconsin",43.0730517,-89.4012302,60.094471326287405
447,"Milwaukee, Wisconsin",43.0389025,-87.9064736,24.0846219437995
448,"Racine, Wisconsin",42.7261309,-87.78285230000002,35.7778835161317
449,"Waukesha, Wisconsin",43.0116784,-88.2314813,65.3540996708181
